"DGP","N","ZI_Level","Zero_Proportion","Model","CATE_RMSE","CATE_Abs_Bias","CATE_Coverage","CATE_Correlation","CATE_CI_Length","ATE_RMSE","ATE_Abs_Bias"
"DGP A: Log-Normal Hurdle",100,3,0.367,"BCF-Linear",3.18080705447559,1.23732460044348,0.9558,0.294241507269601,9.32423726050558,1.84677328457248,0.324322658482364
"DGP A: Log-Normal Hurdle",250,3,0.367,"BCF-Linear",3.04228619858322,0.821024005930769,0.93516,0.270523609002831,7.52151686765981,1.04517423847558,0.325425338391602
"DGP A: Log-Normal Hurdle",500,3,0.367,"BCF-Linear",3.66203916620638,0.640462541772828,0.93194,0.184224828311988,6.31497825771435,0.849362372266345,0.282078408428869
"DGP A: Log-Normal Hurdle",1000,3,0.367,"BCF-Linear",3.29944133403817,0.42232157667928,0.90913,0.204416891863669,4.80392621213104,0.559477817306492,0.207266825183552
"DGP A: Log-Normal Hurdle",100,3,0.367,"DPglm",1.95716991900984,1.09794945655563,0.9984,0.227079569094613,99.1921939628111,1.33999367998335,0.749545078143471
"DGP A: Log-Normal Hurdle",250,3,0.367,"DPglm",1.506836987377,0.966401451444691,0.99964,0.382486647009644,63.630404230896,1.14503758110884,0.862368735694646
"DGP A: Log-Normal Hurdle",500,3,0.367,"DPglm",1.40885559895823,0.652407582601233,0.99986,0.320802489172906,51.2099303323672,0.78098166168616,0.636883676348064
"DGP A: Log-Normal Hurdle",1000,3,0.367,"DPglm",1.54580877545464,0.396581666244203,0.9998,0.293591925782866,42.6049938237462,0.488053113176538,0.302792651483238
"DGP A: Log-Normal Hurdle",100,3,0.367,"Gamma Hurdle",4.15319107784809,1.07342793117277,0.9595,0.233127850906609,11.4738439510735,1.36593933811586,0.0362587865068376
"DGP A: Log-Normal Hurdle",250,3,0.367,"Gamma Hurdle",2.3835505375694,0.709337813081666,0.9598,0.33970967405717,6.63482859014199,0.912655783556254,0.0460974365677245
"DGP A: Log-Normal Hurdle",500,3,0.367,"Gamma Hurdle",1.81032220990887,0.471657981806819,0.94876,0.418941824409187,4.64139448851247,0.584871329775327,0.0286069825959612
"DGP A: Log-Normal Hurdle",1000,3,0.367,"Gamma Hurdle",1.26206783759619,0.325429777979755,0.94,0.599154750093505,3.26652459637283,0.424341691586144,0.0347857009187006
"DGP A: Log-Normal Hurdle",100,3,0.367,"Gamma +.01",1969097147.14888,532186438.172493,0.8938,0.122537588679892,213729491661.494,5321864341.47307,532186432.171927
"DGP A: Log-Normal Hurdle",250,3,0.367,"Gamma +.01",4.58392752260288,1.05469041803642,0.94008,0.162549302482103,9.85481604920743,1.39933619486083,0.373496421827783
"DGP A: Log-Normal Hurdle",500,3,0.367,"Gamma +.01",2.94581064788098,0.606114743994805,0.91734,0.267071573026728,6.21539089571985,0.765439634571057,0.211753339666926
"DGP A: Log-Normal Hurdle",1000,3,0.367,"Gamma +.01",1.87266929038122,0.385736098702204,0.90569,0.407645127725962,4.15503878246396,0.514234258724224,0.153072799320557
"DGP A: Log-Normal Hurdle",100,3,0.367,"ZIC-BCF-Smear",1.73812085976914,0.790044260542172,0.9681,0.388046164745906,6.72578499040272,1.01930058793207,0.394650716832798
"DGP A: Log-Normal Hurdle",250,3,0.367,"ZIC-BCF-Smear",1.54977852376161,0.611880165104243,0.96512,0.469252113795081,4.82403988027871,0.76543240448998,0.476990935524221
"DGP A: Log-Normal Hurdle",500,3,0.367,"ZIC-BCF-Smear",1.52649422510898,0.475842086078099,0.9491,0.397000344120311,3.81862650389416,0.613701835213158,0.4056907693939
"DGP A: Log-Normal Hurdle",1000,3,0.367,"ZIC-BCF-Smear",1.47287073505778,0.475289455585416,0.94809,0.419680874936736,3.20387140992427,0.566376035684682,0.430800594017542
"DGP B: Gamma Hurdle",100,3,0.395,"BCF-Linear",3.54083963854816,1.10999131811469,0.9526,0.254427430637867,9.44459963477924,1.63170576213071,0.120336666070786
"DGP B: Gamma Hurdle",250,3,0.395,"BCF-Linear",3.14026156490773,0.830307456831409,0.95256,0.219428900895416,7.66847307334794,1.06118005440498,0.299807230077404
"DGP B: Gamma Hurdle",500,3,0.395,"BCF-Linear",4.0102631921771,0.64285305752997,0.92534,0.155535910126266,6.48948417638092,0.812277804581365,0.253314019330454
"DGP B: Gamma Hurdle",1000,3,0.395,"BCF-Linear",3.32434105661246,0.440846325864282,0.90488,0.186774695718865,4.5512323186984,0.571241539865024,0.172666476845398
"DGP B: Gamma Hurdle",100,3,0.395,"DPglm",2.04386464740522,1.04522536701527,0.9974,0.177233642525187,103.782549211343,1.36363171356629,0.575355233081887
"DGP B: Gamma Hurdle",250,3,0.395,"DPglm",1.48263026447544,0.821431162117974,0.99972,0.289741681220317,64.5590519423985,1.00181897853692,0.628271943006617
"DGP B: Gamma Hurdle",500,3,0.395,"DPglm",1.40610598214597,0.583834772755307,0.99984,0.275141915283453,51.7593902961192,0.7125325176426,0.520069179402504
"DGP B: Gamma Hurdle",1000,3,0.395,"DPglm",1.49413863945925,0.319659766687745,0.99988,0.22127133628537,43.110216142648,0.411063511176986,0.0325769348432036
"DGP B: Gamma Hurdle",100,3,0.395,"Gamma Hurdle",5.36805384095935,1.25873487558404,0.9372,0.155476109010882,13.7823994834057,1.63154682216047,0.199394754244961
"DGP B: Gamma Hurdle",250,3,0.395,"Gamma Hurdle",2.69221917146062,0.69234552104125,0.95324,0.24173663407461,7.19555155140005,0.877565369732592,0.0445939292838102
"DGP B: Gamma Hurdle",500,3,0.395,"Gamma Hurdle",1.90608847170481,0.516613485558439,0.93712,0.370433144743019,4.86012924087238,0.628817886939364,0.0244070290334104
"DGP B: Gamma Hurdle",1000,3,0.395,"Gamma Hurdle",1.34446366341265,0.342195129845585,0.94262,0.514110694704435,3.40737493234929,0.446348637423718,0.00678371408441167
"DGP B: Gamma Hurdle",100,3,0.395,"Gamma +.01",3204069686.90926,1784446332.8229,0.864,0.0765492416564946,213729613290.336,17843955587.4493,1784446331.2805
"DGP B: Gamma Hurdle",250,3,0.395,"Gamma +.01",4.99625352201957,1.13497353441411,0.93728,0.123177455632725,10.1531578716555,1.45796806748435,0.44022475774283
"DGP B: Gamma Hurdle",500,3,0.395,"Gamma +.01",3.07551632738721,0.659428892509762,0.91068,0.258505883759747,6.35049522110444,0.836485988381149,0.245869192423097
"DGP B: Gamma Hurdle",1000,3,0.395,"Gamma +.01",1.93923781587501,0.419122170259,0.91828,0.307341958916533,4.20146807409853,0.531580558704047,0.158396985869523
"DGP B: Gamma Hurdle",100,3,0.395,"ZIC-BCF-Smear",1.6032456049686,0.855933603497366,0.9685,0.348143510630894,7.80333715554907,1.0951302909829,0.222872512718083
"DGP B: Gamma Hurdle",250,3,0.395,"ZIC-BCF-Smear",1.35808793296762,0.565159603488592,0.96632,0.419690520819953,5.39649695068439,0.763923026857311,0.23319863380622
"DGP B: Gamma Hurdle",500,3,0.395,"ZIC-BCF-Smear",1.38038856100565,0.491343757368784,0.95718,0.398350321190837,4.17429147753162,0.650462599698672,0.338520216909604
"DGP B: Gamma Hurdle",1000,3,0.395,"ZIC-BCF-Smear",1.37327845366864,0.465914391415203,0.94268,0.407447206850716,3.36449582985516,0.5840231153248,0.398708114393036
"DGP C: Tweedie Semicontinuous",100,3,0.18,"BCF-Linear",6.02432771089828,1.56383589617228,0.8959,0.673543529556919,13.3866541964111,1.91298756250529,0.342169448555008
"DGP C: Tweedie Semicontinuous",250,3,0.18,"BCF-Linear",5.74150468329129,0.782231915753196,0.88252,0.66240775268509,9.59515784833407,1.01253280674919,0.0510843929944215
"DGP C: Tweedie Semicontinuous",500,3,0.18,"BCF-Linear",5.3874045556232,0.585333557518939,0.85292,0.723485884275055,7.37918544044042,0.715363933845249,0.168570404825844
"DGP C: Tweedie Semicontinuous",1000,3,0.18,"BCF-Linear",4.67167270874626,0.420294188043688,0.83473,0.747385830479076,5.38735918003603,0.524047500137885,0.0030780568476307
"DGP C: Tweedie Semicontinuous",100,3,0.18,"DPglm",4.63367155738177,1.15765368437662,0.9995,0.273650200003142,94.2249879900565,1.50634645751137,0.235195739302534
"DGP C: Tweedie Semicontinuous",250,3,0.18,"DPglm",4.42837991107587,0.794419234031561,0.99904,0.404708539584503,64.2113896068834,0.92963799579979,0.474257304878408
"DGP C: Tweedie Semicontinuous",500,3,0.18,"DPglm",4.83663228076321,0.85500940808298,0.99934,0.267203643370712,51.351065583645,1.00283651436337,0.793360964621969
"DGP C: Tweedie Semicontinuous",1000,3,0.18,"DPglm",4.18238764220966,0.912960226727947,0.99903,0.589716724123559,41.2914072422144,1.00684547945617,0.912660574834516
"DGP C: Tweedie Semicontinuous",100,3,0.18,"Gamma Hurdle",5.01762441400764,1.17205605013901,0.9529,0.648861117033229,13.7774961264739,1.49703495370906,0.216357672091002
"DGP C: Tweedie Semicontinuous",250,3,0.18,"Gamma Hurdle",2.62315969173002,0.534948071870262,0.9572,0.885009632137654,7.23248212404234,0.704617403462424,0.0272458444574254
"DGP C: Tweedie Semicontinuous",500,3,0.18,"Gamma Hurdle",2.06700371875732,0.420825343495715,0.94994,0.943558611006301,4.96082068186183,0.533966603712062,0.0505674246328136
"DGP C: Tweedie Semicontinuous",1000,3,0.18,"Gamma Hurdle",1.45528457336046,0.298415282526842,0.93933,0.970574571044855,3.45443835563907,0.372991626686374,0.0333894381290217
"DGP C: Tweedie Semicontinuous",100,3,0.18,"Gamma +.01",8.24814265789882,1.69722977529564,0.9166,0.532566403183481,16.573493418684,2.37617997968988,0.164498525155724
"DGP C: Tweedie Semicontinuous",250,3,0.18,"Gamma +.01",3.23098687463237,0.615417938407484,0.94632,0.833557489223075,8.22819414941044,0.803047265496757,0.0569438217698544
"DGP C: Tweedie Semicontinuous",500,3,0.18,"Gamma +.01",2.54927832338614,0.470308902135668,0.95126,0.914452980341326,5.66230812751238,0.613980041977714,0.0123993025303994
"DGP C: Tweedie Semicontinuous",1000,3,0.18,"Gamma +.01",1.748524355346,0.323463681582684,0.94556,0.959698907358977,3.93890877534611,0.407043081318552,0.0200571831651309
"DGP C: Tweedie Semicontinuous",100,3,0.18,"ZIC-BCF-Smear",3.61786614885913,1.33928625227351,0.9736,0.766067514249117,11.6532578373331,1.66412885166867,0.363749944081612
"DGP C: Tweedie Semicontinuous",250,3,0.18,"ZIC-BCF-Smear",2.90590779737835,0.919008754566772,0.98044,0.889906040987965,8.61373417096084,1.10940351688963,0.0488227478032423
"DGP C: Tweedie Semicontinuous",500,3,0.18,"ZIC-BCF-Smear",2.47107129337438,0.698647486001581,0.9821,0.916212099723245,7.40369156980253,0.84997159988693,0.224387621046843
"DGP C: Tweedie Semicontinuous",1000,3,0.18,"ZIC-BCF-Smear",2.17102993794418,0.512948687696583,0.97363,0.92782594077484,6.08412361703118,0.627285473350117,0.281626954167081
