"DGP","Seed","True_ATE","True_Hurdle_ATE","Linear_CATE_RMSE","Linear_CATE_Abs_Bias","Linear_CATE_Coverage","Linear_CATE_Correlation","Linear_CATE_CI_Length","Linear_Est_ATE","PathA_CATE_RMSE","PathA_CATE_Abs_Bias","PathA_CATE_Coverage","PathA_CATE_Correlation","PathA_CATE_CI_Length","PathA_Est_ATE","Smear_CATE_RMSE","Smear_CATE_Abs_Bias","Smear_CATE_Coverage","Smear_CATE_Correlation","Smear_CATE_CI_Length","Smear_Est_ATE","Linear_Hurdle_RMSE","Linear_Hurdle_Abs_Bias","Linear_Hurdle_Coverage","Linear_Hurdle_Correlation","Linear_Hurdle_CI_Length","Linear_Est_Hurdle_ATE","PathA_Hurdle_RMSE","PathA_Hurdle_Abs_Bias","PathA_Hurdle_Coverage","PathA_Hurdle_Correlation","PathA_Hurdle_CI_Length","PathA_Est_Hurdle_ATE","Smear_Hurdle_RMSE","Smear_Hurdle_Abs_Bias","Smear_Hurdle_Coverage","Smear_Hurdle_Correlation","Smear_Hurdle_CI_Length","Smear_Est_Hurdle_ATE"
"DGP A: Log-Normal Hurdle",1,2.59038409401341,0.114636779817523,9.74235570535927,1.71503376251273,0.655,-0.123462627591858,6.77193636160808,4.30541785652614,3.97889714519635,1.41729538634276,0.874,0.204930595506662,5.68489631711318,4.00767948035617,4.04484642883995,1.44377351120565,0.889,0.20988619739008,5.83363044960235,4.03415760521906,NA,NA,NA,NA,NA,NA,0.0590352256452464,0.0364773558914543,0.999,0.541884261505977,0.353864707110028,0.151114135708977,0.0620779110194024,0.0412706764615232,0.997,0.571627493313914,0.369454444734772,0.155907456279046
"DGP A: Log-Normal Hurdle",2,2.72570130115613,0.118407117796118,6.80011640097877,1.88908740277527,0.822,0.234662470632392,8.53761328542178,4.6147887039314,3.19185507294399,1.63056492099832,0.892,0.478976190607241,6.12403878005953,4.35626622215446,3.23224809068352,1.61582344877394,0.895,0.467675599478268,5.98555772713601,4.34152474993008,NA,NA,NA,NA,NA,NA,0.060051317751671,0.0158752474530297,0.978,-0.00577273301160238,0.282447444737948,0.134282365249148,0.0602391969485998,0.0168763739890423,0.978,0.0259168779894618,0.291884728412301,0.135283491785161
"DGP A: Log-Normal Hurdle",3,2.6897375917133,0.114270143585318,3.82449925654492,0.0282908844659735,0.94,0.367383494406892,7.53148344228633,2.71802847617928,2.05842870311077,0.658508713296191,0.938,0.633079834126751,4.70136117271309,3.3482463050095,2.04439713548988,0.64736062389033,0.936,0.62547412217469,4.66234139982245,3.33709821560363,NA,NA,NA,NA,NA,NA,0.0500468565534862,0.0202902040174652,0.999,0.418183825085012,0.241939545121774,0.134560347602783,0.0499187285313602,0.0182672817797019,0.982,0.392727427280586,0.232426219672889,0.13253742536502
"DGP A: Log-Normal Hurdle",4,2.71649083538536,0.115830578228333,1.53444244391674,0.161299111901033,0.975,0.495795668835461,5.45187927016585,2.8777899472864,1.61452008388475,0.628916024635852,0.975,0.671828898579307,4.91031813795037,3.34540686002121,1.52804957401151,0.587065893180223,0.982,0.690905991158091,4.88990925653733,3.30355672856559,NA,NA,NA,NA,NA,NA,0.0507177063748735,0.00953852622502877,0.993,0.23273809283051,0.203728830946077,0.125369104453362,0.0503529094100526,0.00971218921733884,1,0.257326890607967,0.229463605779797,0.125542767445672
"DGP A: Log-Normal Hurdle",5,2.65189339559999,0.114586122576642,8.50872887336834,1.25293180015756,0.719,0.318977585078858,6.85913626050848,3.90482519575756,2.51599166102801,1.0389202812285,0.945,0.497949369518578,5.27974890042127,3.6908136768285,2.5725649233054,1.09852738893214,0.951,0.491270089461172,5.40962034048604,3.75042078453214,NA,NA,NA,NA,NA,NA,0.0755652122334291,0.0536026289204347,0.943,0.23293895913821,0.27455766567546,0.168188751497077,0.0794155162080054,0.0576700836450388,0.973,0.245556685530317,0.300414319337668,0.172256206221681
"DGP B: Gaussian Hurdle",1,1.70331808009301,0.114636779817523,0.669637913143232,0.245364705185845,0.963,0.494099328817049,2.66756470722923,1.94868278527886,0.731943951741332,0.307071980007931,0.956,0.510540270368898,2.93769036189939,2.01039006010094,0.608415551605441,0.279750891440768,0.966,0.572058205180339,2.47974106551899,1.98306897153378,NA,NA,NA,NA,NA,NA,0.0717293530112366,0.0384558365469427,0.993,0.49368016187751,0.398955093627528,0.153092616364465,0.0556065129475213,0.0361023514789483,0.999,0.571151694232418,0.332333801691644,0.150739131296471
"DGP B: Gaussian Hurdle",2,1.74574703501377,0.118407117796118,0.676319296411588,0.268069634080235,0.913,0.275502360300373,2.15509514393053,2.01381666909401,0.633196614432826,0.312959849834735,0.967,0.451458505451293,2.44096890819537,2.05870688484851,0.630241154380528,0.309604221565665,0.964,0.458861872392693,2.41722690805176,2.05535125657944,NA,NA,NA,NA,NA,NA,0.0620279754642434,0.0151762958379303,0.984,-0.0540815041661691,0.301093261663788,0.133583413634049,0.061085283154541,0.0136493167323338,0.981,-0.0179159223787988,0.297101057757452,0.132056434528452
"DGP B: Gaussian Hurdle",3,1.71739722423142,0.114270143585318,0.350488369660276,0.00270939974734998,0.998,0.822847559397431,2.23797823128918,1.71468782448407,0.43155551940144,0.0972888573883176,0.976,0.728305011194786,1.9299315832904,1.81468608161974,0.43654587911835,0.100554210656594,0.979,0.723536356093939,1.96085034698232,1.81795143488802,NA,NA,NA,NA,NA,NA,0.0478203609038324,0.0180655026227866,1,0.457037503977338,0.244148486138487,0.132335646208104,0.0483225316455802,0.0178232112233509,1,0.446529269214307,0.253364007570666,0.132093354808669
"DGP B: Gaussian Hurdle",4,1.73828424395045,0.115830578228333,0.553097925495775,0.103689012323011,0.914,0.495124817317252,1.65533855737774,1.84197325627346,0.460002372316971,0.209695754738095,0.987,0.741802165065567,2.06004761297873,1.94797999868855,0.448561317823099,0.192870450038951,0.987,0.754462347668047,1.93914518651042,1.9311546939894,NA,NA,NA,NA,NA,NA,0.0498041081922865,0.0119344572586407,0.999,0.306408500444792,0.249309352031857,0.127765035486974,0.0488948038338057,0.00963011210782168,0.998,0.303806131615373,0.224642904191091,0.125460690336155
"DGP B: Gaussian Hurdle",5,1.70912353227856,0.114586122576642,0.585539184003212,0.375509966145476,0.924,0.688454902768143,1.81396467606396,2.08463349842403,0.650145887256341,0.4909827749074,0.939,0.681982783755073,2.20615025663345,2.20010630718596,0.650900792873944,0.475877077582315,0.938,0.644785139654229,2.09021655492585,2.18500060986087,NA,NA,NA,NA,NA,NA,0.0785674492643385,0.0563333771849113,0.954,0.257334229534783,0.288532293970302,0.170919499761553,0.0770316912687811,0.0536940046219931,0.947,0.175277532650484,0.273063555749218,0.168280127198635
"DGP C: Tweedie Compound",1,7.44058127909875,0.0375967276433192,14.6840225113081,0.478956286405497,0.794,0.792084989631001,6.38537693724119,6.96162499269325,14.6565928682788,3.34357784822305,0.986,0.794705373315632,17.9883672523879,10.7841591273218,14.2419533676719,1.73103899338235,0.998,0.800597000059182,15.2498903349422,9.1716202724811,NA,NA,NA,NA,NA,NA,0.0288041619702687,0.00250582918879645,1,0.662647427247785,0.229835229100521,0.0350908984545227,0.0325331781731751,0.000885663662666338,0.999,0.643861377360031,0.242678618750693,0.0384823913059855
"DGP C: Tweedie Compound",2,6.59995912722732,0.0387953848743287,9.14981892113213,0.164626055514785,0.769,0.779408338398036,7.61656337634389,6.76458518274211,7.22771879119604,3.16902382970395,0.967,0.919325732458566,14.5651200093863,9.76898295693127,6.08779792844189,2.12929137175306,0.992,0.917477195612377,12.477173106217,8.72925049898038,NA,NA,NA,NA,NA,NA,0.0245714288033366,0.0076957938459943,1,0.21166901588351,0.140032299946805,0.0310995910283344,0.0237891248493176,0.00500553452356819,1,0.213681774414144,0.146585166540973,0.0337898503507605
"DGP C: Tweedie Compound",3,7.22823435590905,0.0374869886631535,8.81902731969227,0.471507050329803,0.787,0.867826611692011,7.67493547819079,7.69974140623885,8.33229063460464,3.82806853007044,0.989,0.969223291185818,17.2355703343336,11.0563028859795,5.76627016374446,2.44764515712273,0.997,0.970489465287602,15.2047717074187,9.67587951303178,NA,NA,NA,NA,NA,NA,0.0490007125542485,0.0207354463312541,0.965,0.150686866882363,0.153236992917052,0.0582224349944076,0.0483313312518861,0.0210748018382453,0.956,0.168298366430945,0.154724079221083,0.0585617905013988
"DGP C: Tweedie Compound",4,7.339490260343,0.0367126780874428,9.42508710939782,0.913608972291189,0.656,0.874375635474592,8.03549241832649,8.25309923263419,4.34379444421568,2.34911713869117,0.78,0.971312194738361,14.867409835748,9.68860739903417,3.36084711977783,1.22930244408807,0.815,0.971879082173001,13.0795495243409,8.56879270443107,NA,NA,NA,NA,NA,NA,0.0362360444803247,0.0133278907369611,1,0.409964414685873,0.156318987394248,0.0500405688244039,0.0347582507411069,0.0123049492741547,1,0.42410931029373,0.14764421536747,0.0490176273615975
"DGP C: Tweedie Compound",5,7.01301468676966,0.0378030854283647,10.8583968988996,0.140064205783768,0.624,0.786662887596529,5.68895042614232,6.87295048098589,5.02934718382753,2.20257965100716,0.902,0.950926611841341,14.4966674059788,9.21559433777681,4.55870639791853,0.964911688221143,0.912,0.950065853798449,12.2055601030897,7.9779263749908,NA,NA,NA,NA,NA,NA,0.0372313648099097,0.0154159539853857,0.995,0.356725677538192,0.162104524835346,0.0532190394137505,0.0360627630370271,0.0140152939430143,0.995,0.337068636130819,0.143461504640355,0.051818379371379
