"DGP","c_shift","Zero_Proportion","True_ATE","Linear_RMSE","Linear_Bias","Linear_Coverage","Linear_Correlation","Log_RMSE","Log_Bias","Log_Coverage","Log_Correlation","PathA_RMSE","PathA_Bias","PathA_Coverage","PathA_Correlation","PathB_RMSE","PathB_Bias","PathB_Coverage","PathB_Correlation","PathC_RMSE","PathC_Bias","PathC_Coverage","PathC_Correlation","PathD_RMSE","PathD_Bias","PathD_Coverage","PathD_Correlation","Gemini_RMSE","Gemini_Bias","Gemini_Coverage","Gemini_Correlation"
"DGP A: Log-Normal Hurdle",-1.5,0.854,1.19370760025053,3.14193185401662,0.168206069507044,0.861,0.52948039868754,1.25681411373912,0.607754424806182,0.778,0.711616062738585,0.672134158270595,0.194479913835324,0.979,0.914167933855559,1.50467829690835,0.590838874242188,0.057,0.728074273724621,0.638675343921362,0.186040713263979,0.994,0.919119244623527,1.76630623393765,0.180643527247469,0.906,0.444845547704707,0.694432794271846,0.190411487477053,0.98,0.907815839261303
"DGP A: Log-Normal Hurdle",-0.5,0.619,2.21935875751968,2.23694396286016,0.540444346272188,0.915,0.440199346984993,1.74484252701484,0.912166688758182,0.713,0.495223904969113,1.1226703770733,0.224342608943899,0.981,0.791492170201842,1.94644624796034,1.37935265458171,0.06,0.816905928840709,1.20705761513638,0.298341268695944,0.972,0.762046028977426,3.63253476751778,0.537644434908857,0.835,0.237334553341741,1.20991044387038,0.162794057191409,0.983,0.779882814511289
"DGP A: Log-Normal Hurdle",0.2,0.367,2.64946425036006,3.92227980405694,0.511997406109248,0.986,0.302659955563526,2.37299735841554,0.767898762394398,0.893,0.305178529431739,3.09876518012854,1.25078582122427,0.922,0.37888985703374,2.055022561542,1.35944113074817,0.039,0.573932650808652,2.99304229702225,1.24125603874298,0.95,0.409826295320783,5.23725400982698,2.26995219800209,0.914,0.105730865336873,3.06332524803629,1.21233813468794,0.926,0.383106113652411
"DGP A: Log-Normal Hurdle",1,0.185,2.75792485522268,2.07622204014238,0.233412760276449,0.996,0.570575231828602,2.64721998798329,0.0985151455605358,0.789,0.0977369948648027,2.82677411590053,0.355215155025242,0.949,0.0963163496203623,2.43720052539772,1.13982651051414,0.038,0.217032562827112,2.90551063613395,0.396356534371022,0.945,0.0670400393740889,5.81618901569162,1.86114615016173,0.901,0.12124444256105,2.84909852618394,0.326866001334247,0.945,0.0785918519381589
"DGP A: Log-Normal Hurdle",1.8,0.066,2.70692116304413,5.97320006443414,0.754956421421926,0.896,-0.175275186074857,4.20112701585912,1.70939923125316,0.648,0.0688040043890159,2.84648991063095,0.777104361181253,0.97,0.34424612576511,2.71005719812907,0.82172060188959,0.052,0.070550263253793,2.99635446372961,0.973433381272914,0.968,0.274237300063933,6.83846120386938,2.51012398960029,0.845,0.0962389650823091,2.82544500723074,0.75871032400874,0.979,0.341702088879556
"DGP B: Gaussian Hurdle",-1.5,0.851,0.825768396329415,0.689338609055979,0.112155038511259,0.942,0.880431610070212,0.523368395764093,0.305598785426878,0.829,0.847802188380241,0.285777092072267,0.0540850439976788,1,0.937356883091289,0.712339558950157,0.176229139647349,0.097,0.915085704238824,0.336403515861578,0.0618490170207492,1,0.925589823719029,0.396809123777109,0.0229831482572021,0.995,0.872436606148933,0.324024565187448,0.0540067998590115,1,0.93472578114085
"DGP B: Gaussian Hurdle",-0.5,0.607,1.48901762176359,0.394682764216649,0.155355274248839,0.999,0.888348765042961,0.625141148510178,0.265802528803659,0.963,0.769681187095189,0.359715285684443,0.166349018494355,0.999,0.924185400282474,0.911944507176204,0.710415441060311,0.053,0.948053944305088,0.535997248442526,0.370632164003215,0.99,0.88449112713487,0.678162091394301,0.0034275033567131,0.956,0.645388794768256,0.326263079104959,0.159670070379504,0.999,0.930747014687464
"DGP B: Gaussian Hurdle",0.2,0.395,1.69778286084579,0.577678346953965,0.137822532886355,0.908,0.357507871610377,1.15955088893272,0.490927026300702,0.881,0.0773666586482653,0.512081255890528,0.179584713238116,0.942,0.605487911203344,0.827790419389543,0.676065255079697,0.049,0.702851054426139,0.481593029771523,0.0966557776669063,0.966,0.622904489007024,0.774180186179231,0.237176198081699,0.967,0.429192059753897,0.505021705134939,0.171396839112769,0.946,0.613162701812635
"DGP B: Gaussian Hurdle",1,0.181,1.66239769195271,0.423364316620514,0.0298648255151529,0.909,0.515306592665504,0.734930935734076,0.372635364795977,0.961,0.161013401083596,0.385200057551519,0.104617431121524,0.964,0.637661794019191,0.550225334955668,0.259127902963088,0.252,0.273532094944411,0.442293626060616,0.257804807051663,0.893,0.66276779903351,1.26275286842231,0.767808643226749,0.947,0.578150611515655,0.376631820708296,0.111803909483458,0.965,0.669371885371142
"DGP B: Gaussian Hurdle",1.8,0.049,1.55909092714756,0.461314602505868,0.187273720365177,0.86,0.471620141615388,0.676850075562089,0.449645430044316,0.902,0.25776671404052,0.457886815712974,0.244496975194604,0.922,0.57785957505416,0.531042227956089,0.152171435311045,0.145,0.110859902404461,0.42573280675335,0.206851917294286,0.908,0.624450965559149,0.754973196755014,0.304097791709945,0.901,0.617567953704193,0.462832977178284,0.240787036111673,0.921,0.552933476697534
"DGP C: Tweedie Compound",-3.5,0.6,0.217694227222253,0.491791890348918,0.00175218907572956,0.918,0.590402571541483,0.356245857735496,0.0458558632351571,0.809,0.767743530748754,0.266946494025654,0.0654271599435749,0.981,0.886432133010978,0.572739671379542,0.161410738170231,0.041,0.293016213408593,0.418750108549834,0.0464419357538863,0.973,0.756303027457502,0.52982918947948,0.0797040251152525,0.834,0.313112159136319,0.269595772136862,0.0169223227412868,0.99,0.876809343214804
"DGP C: Tweedie Compound",-2,0.397,0.975637838817661,1.82170474595593,0.162916772709501,0.759,0.855216822136976,1.08995567229841,0.348275232540805,0.887,0.930980809962671,0.953049178682163,0.0260449391478716,0.999,0.935329933620489,2.40530721726784,0.51134801315208,0.133,0.520831081383162,1.50620650360084,0.0800263307598387,0.995,0.81956804119227,2.32568814659685,0.467137588800254,0.825,0.416493723454649,1.03713269266828,0.104255267357552,0.999,0.943085786457688
"DGP C: Tweedie Compound",-0.8,0.18,3.23923169912063,3.95409461715645,0.214037464087755,0.781,0.889651309328513,7.08978899342047,1.72292086441554,0.789,0.645557284436164,3.29620690572197,0.237639395680134,1,0.922721746144239,8.10088904524339,2.26726353231433,0.159,0.672845913690435,4.93704614987782,0.166738866414487,0.996,0.810717552552636,7.88271971427845,1.41647914451771,0.813,0.323897939892244,3.82729178090202,0.257319286877818,0.999,0.913833528648816
"DGP C: Tweedie Compound",0,0.115,7.20904272326316,8.85124757130349,1.11912028706997,0.566,0.915451085366871,14.7248989547639,1.4537211802539,0.737,0.613965802439256,9.61171081019786,4.56286045343704,0.814,0.94337794013941,18.1655411781553,5.42015923922933,0.092,0.747133005776241,12.9313502889998,4.53766639054098,0.953,0.833757339036678,17.7812676809965,0.785526774869905,0.773,0.296134991960729,7.53087722142334,3.1145246292792,0.89,0.941899104736292
"DGP C: Tweedie Compound",1,0.028,19.5962098352311,16.8443177352182,0.760703061407128,0.674,0.948113915011667,47.5858318107388,4.04902167270523,0.638,0.321059336700544,19.0242010210902,5.78646963482681,0.997,0.941092035165911,50.7930330158352,16.4129284859692,0.087,0.717909902065836,25.3423442917981,5.78444336172029,0.996,0.86910261970507,49.0764362355697,6.8214097858017,0.761,0.235906328596511,18.0928769788312,4.76410870453164,1,0.94116951066951
